number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state,mean_test_score,rank_test_score
791,0.8074858633016722,2025-03-11 16:00:13.198272,2025-03-11 16:00:31.798394,0 days 00:00:18.600122,0.7560347710491604,0.010648189832987561,12,6,1860,0.008261094531151968,7.271188225395898,0.7645467565855216,COMPLETE,0.8074858633016722,50
306,0.8074775306480022,2025-03-11 13:43:16.612956,2025-03-11 13:43:32.929861,0 days 00:00:16.316905,0.8435289152733166,0.011828249245816777,12,7,1696,0.016582177648872976,6.630118918402561,0.8785386830900854,COMPLETE,0.8074775306480022,51
147,0.8074715472003067,2025-03-11 13:00:29.656777,2025-03-11 13:00:46.194668,0 days 00:00:16.537891,0.7647861155685627,0.01007911840162703,11,5,1910,0.014896272123213828,4.18827407670213,0.8334876029921078,COMPLETE,0.8074715472003067,52
911,0.8074676318570161,2025-03-11 16:33:51.307572,2025-03-11 16:34:03.813681,0 days 00:00:12.506109,0.759894066602014,0.011336063480691794,12,7,1326,0.07336935703906088,3.03492614155628,0.8403230495113362,COMPLETE,0.8074676318570161,53
814,0.8074656440673453,2025-03-11 16:07:13.729637,2025-03-11 16:07:33.630840,0 days 00:00:19.901203,0.8406423992206589,0.01108473400722689,13,7,1905,0.005647169191325118,4.615908334588019,0.8835154932331288,COMPLETE,0.8074656440673453,54
326,0.8074643791102822,2025-03-11 13:48:04.728642,2025-03-11 13:48:19.613617,0 days 00:00:14.884975,0.8303765744057955,0.011785917943672113,11,6,1854,0.015140130499785166,6.3257550291568,0.8633303913598223,COMPLETE,0.8074643791102822,55
825,0.8074625117927128,2025-03-11 16:10:19.059473,2025-03-11 16:10:35.288970,0 days 00:00:16.229497,0.8240699541542638,0.011278745201278128,12,7,1720,0.007403515362719092,5.265197184221127,0.8994303571193317,COMPLETE,0.8074625117927128,56
339,0.8074540185095745,2025-03-11 13:50:53.565173,2025-03-11 13:51:05.921400,0 days 00:00:12.356227,0.8034407005744998,0.013656358867125941,11,7,1603,0.011420164054482304,6.863118293341556,0.8659916632833218,COMPLETE,0.8074540185095745,57
194,0.8074534563064355,2025-03-11 13:12:23.895926,2025-03-11 13:12:39.656863,0 days 00:00:15.760937,0.8413452395087357,0.010007567555153337,10,5,2103,0.014536141266203553,8.101286234441126,0.8842670629606024,COMPLETE,0.8074534563064355,58
944,0.8074460271935249,2025-03-11 16:41:26.526700,2025-03-11 16:41:42.491298,0 days 00:00:15.964598,0.7808094205167576,0.012503726624818573,12,6,1630,0.04085264546684425,5.501915827588505,0.8378435782243449,COMPLETE,0.8074460271935249,59
